name.line;Latitude ;Longitude;Macro-habitat;Grasses;Grasses;Trees_Shrubs;Trees_Shrubs;Dwarf_Shrubs;Dominant_description
D15;-26.95526;21.82674;Wooded savanna;Schmidtia kalahariensis; Stripagrostis ciliata;Vachellia erioloba; Calobota linearifolia;NULL;Schmidtia/S. ciliata/V. erioloba/Calobota
H15;-26.95484;21.82871;Calcareous flats;Schmidtia kalahariensis;NULL;Senegalia mellifera; Rhigozum trichotomum;Limeum aetiopicum;Schmidtia/S. mellifera/Rhigozum
J13;-26.97805;21.81454;Calcareous flats|Duneveld;Schmidtia kalahariensis;Stripagrostis amabilis;Rhigozum trichotomum; Grewia flava;Justicia incana;Schmidtia/S. amabilis/Rhigozum/Grewia/Justicia
J15;-26.9732;21.83578;Calcareous flats|Duneveld;Schmidtia kalahariensis; Eragrostis echinochloidea;Rhigozum trichotomum; Grewia flava;Justicia australis;Schmidita/E. echinochloidea/Rhigozum/Grewia/Justicia
K18;-26.9751;21.87297;Duneveld;Schmidtia kalahariensis; Aristida congesta; Grewia flava;Vachellia_haematoxylon;NULL;Schmidtia/A. congesta/Grewia/V. haematoxylon
L15;-26.9891;21.83815;Calcareous flats|Duneveld;Schmidtia kalahariensis;Stripagrostis amabilis;Rhigozum trichotomum;NULL;NULL;Schmidtia/S. amabilis/Rhigozum/Grewia/Justicia
L17;-26.9854;21.86143;Wooded savanna;Schmidtia kalahariensis; Aristida congesta;NULL;NULL;NULL;Schmidtia/A. congesta/Grewia/V. haematoxylon
O18;-27.0106;21.88006;Duneveld;Schmidtia kalahariensis;Stripagrostis amabilis;Vachellia erioloba; Rhigozum trichotomum;NULL;Schmidtia/S. amabilis/Rhigozum/V. erioloba
P15;-27.0218;21.85154;Duneveld;Schmidtia kalahariensis; Centropodia glauca;Senegalia mellifera;NULL;Lasiosiphon polycephalus;Schmidtia/Centropodia/S. mellifera/Lasiosiphon
Q17;-27.0309;21.87703;Calcareous flats;Schmidtia kalahariensis;Eragrostis lehmanniana;Rhigozum trichotomum;NULL;Justicia incana;Schmidtia/E. lehmanniana/Rhigozum/Justicia
