"timestamp","trap_id","serial_number","logger_type"
2024-02-08 18:30:00,"J13L01","95145250","standard"
2024-02-08 19:11:00,"J13L10","95145249","standard"
2024-02-09 10:06:00,"J13L05","95139715","cable"
2024-02-09 10:30:00,"H15L05","95139716","cable"
2024-02-09 10:31:00,"H15L01","95145248","standard"
2024-02-09 10:45:00,"H15L10","95145247","standard"
2024-02-09 11:05:00,"J15L01","95145246","standard"
2024-02-09 11:05:00,"J15L05","95139712","cable"
2024-02-09 11:14:00,"J15L10","95145256","standard"
2024-02-09 17:46:00,"P15L01","95145259","standard"
2024-02-09 18:14:00,"P15L10","95145258","standard"
2024-02-09 18:53:00,"L17L01","95145255","standard"
2024-02-09 19:20:00,"L17L10","95145254","standard"
2024-02-13 07:24:00,"Q17L01","95145225","standard"
2024-02-13 07:45:00,"Q17L10","95145253","standard"
2024-02-13 09:40:00,"L15L01","95145252","standard"
2024-02-13 09:57:00,"L15L10","95145251","standard"
2024-02-14 17:24:00,"O18L01","95145224","standard"
2024-02-14 17:41:00,"O18L10","95145223","standard"
2024-02-14 18:35:00,"K18L01","95145221","standard"
2024-02-14 19:02:00,"K18L10","95145222","standard"
