"camera_id","latitude","longitude"
"E16",-26.927787,21.832154
"F12",-26.947053,21.79616
"F13",-26.944169,21.805893
"F14",-26.941833,21.815647
"F15",-26.939428,21.825792
"F16",-26.936421,21.834837
"G11",-26.958188,21.789799
"G12",-26.955728,21.79933
"G13",-26.953115,21.808879
"G14",-26.950555,21.818823
"G15",-26.947857,21.828164
"G16",-26.945003,21.837886
"H11",-26.966995,21.792692
"H12",-26.964166,21.802108
"H13",-26.961485,21.811644
"H14",-26.958956,21.821369
"H15",-26.956551,21.831067
"H16",-26.953997,21.8406
"I11",-26.975964,21.795047
"I12",-26.972864,21.80494
"I13",-26.970373,21.814532
"I14",-26.967547,21.824361
"I15",-26.965269,21.833706
"I16",-26.962287,21.843525
"I17",-26.959714,21.853062
"J11",-26.984096,21.798198
"J12",-26.981532,21.808349
"J13",-26.978895,21.817524
"J14",-26.97633,21.82708
"K11",-26.992806,21.801053
"K12",-26.989687,21.810388
"K14",-26.984967,21.830154
"J17",-26.968854,21.856181
"J18",-26.966258,21.863728
"K15",-26.982254,21.83981
"K16",-26.979746,21.849514
"K17",-26.977215,21.859113
"K18",-26.97453,21.868648
"L14",-26.992284,21.83504
"L15",-26.991093,21.842582
"L16",-26.988433,21.852202
"L17",-26.985732,21.861978
"L18",-26.983102,21.871653
"M15",-26.999503,21.845778
"M16",-26.997288,21.855143
"M17",-26.994315,21.865136
"M18",-26.991969,21.874627
"N15",-27.00802,21.84876
"N16",-27.005694,21.857744
"N17",-27.003051,21.868094
"N18",-27.000422,21.877416
"O15",-27.016933,21.851475
"O16",-27.014181,21.861066
"O17",-27.011914,21.870968
"O18",-27.00909,21.880673
"P15",-27.025384,21.854162
"P16",-27.023058,21.864099
"P17",-27.019902,21.873455
"P18",-27.01771,21.883282
"Q15",-27.034607,21.857177
"Q16",-27.031462,21.867058
"Q17",-27.028998,21.876552
"Q18",-27.026234,21.886356
"R15",-27.042639,21.86047
"R16",-27.040226,21.869895
"R17",-27.0375,21.879617
"R18",-27.03513,21.889106
"S15",-27.051407,21.862893
"S16",-27.04864,21.872751
"S17",-27.046305,21.882587
"S18",-27.043552,21.892016
